ID,Email,Password,Type,Target_1,Result_1,Target_2,Result_2,Expected Result Note,Note
TC-002-011,aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa@test.com,12345678901234567890123456789,success,https://sweetshop.netlify.app/00efc23d-b605-4f31-b97b-6bb276de447e.html,,,,Login successfully,BVA password max- (29 chars)
TC-002-012,aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa@test.com,123456789012345678901234567890,success,https://sweetshop.netlify.app/00efc23d-b605-4f31-b97b-6bb276de447e.html,,,,Login successfully,BVA password max (30 chars)
TC-002-013,aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa@test.com,1234567890123456789012345678901,one_field_limit,id=exampleInputPassword@maxlength,30,,,Password length is limit,BVA password max+ (Input 31 chars but blocked at 30)
TC-002-014,abc@test.com,abc123,success,https://sweetshop.netlify.app/00efc23d-b605-4f31-b97b-6bb276de447e.html,,,,Login successfully,ECP 1 (Valid)
TC-002-015,abctest.com,abc123,one_field_invalid,xpath=(.//*[normalize-space(text()) and normalize-space(.)='Email address'])[1]/following::div[1],Please enter a valid email address.,,,Email not valid,ECP 2 (Invalid Email format)
TC-002-016,,,two_field_invalid,xpath=(.//*[normalize-space(text()) and normalize-space(.)='Email address'])[1]/following::div[1],Please enter a valid email address.,xpath=(.//*[normalize-space(text()) and normalize-space(.)='Password'])[1]/following::div[1],Please enter a valid password.,Email and password not valid,ECP 3 (Both empty - check email first)
TC-002-017,aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa@test.com,1234567890123456789012345678901,two_field_limit,id=exampleInputEmail@maxlength,255,id=exampleInputPassword@maxlength,30,Email length and password is limit,ECP 4 (Both max len - check email len first)
TC-002-018,abc@test.com,abc123,success,https://sweetshop.netlify.app/00efc23d-b605-4f31-b97b-6bb276de447e.html,,,,Login successfully,DT 1
TC-002-019,abc@test.com,,one_field_invalid,xpath=(.//*[normalize-space(text()) and normalize-space(.)='Password'])[1]/following::div[1],Please enter a valid password.,,,Password not valid,DT 2 (Empty Pass)
TC-002-020,abctest.com,abc123,one_field_invalid,xpath=(.//*[normalize-space(text()) and normalize-space(.)='Email address'])[1]/following::div[1],Please enter a valid email address.,,,Email not valid,DT 3 (Invalid Email)
TC-002-021,abctest.com,,two_field_invalid,xpath=(.//*[normalize-space(text()) and normalize-space(.)='Email address'])[1]/following::div[1],Please enter a valid email address.,xpath=(.//*[normalize-space(text()) and normalize-space(.)='Password'])[1]/following::div[1],Please enter a valid password.,Email and password not valid,DT 4 (Invalid Email & Empty Pass)
TC-002-022,user@test.com,,one_field_invalid,xpath=(.//*[normalize-space(text()) and normalize-space(.)='Password'])[1]/following::div[1],Please enter a valid password.,,,Password not valid,Use case path 1
TC-002-023,usertest,123456,one_field_invalid,xpath=(.//*[normalize-space(text()) and normalize-space(.)='Email address'])[1]/following::div[1],Please enter a valid email address.,,,Email not valid,Use case path 2
TC-002-024,user@test.com,password123,success,https://sweetshop.netlify.app/00efc23d-b605-4f31-b97b-6bb276de447e.html,,,,Login successfully,Use case path 3
